tt0036585,Aeroporto,1944,Drama,Piero Costa,"Anna Arena, Attilio Dottesio, Carlo Minello, Clara Zani"
tt0040090,The Lovers of Verona,1949,Drama,André Cayatte,"Serge Reggiani, Anouk Aimée, Pierre Brasseur, Louis Salou"
tt0876438,Endstation Venedig,2006,Crime,Sigi Rothemund,"Uwe Kockisch, Julia Jäger, Michael Degen, Karl Fischer"
tt0067445,Death in Venice,1971,Drama,Luchino Visconti,"Dirk Bogarde, Romolo Valli, Mark Burns, Nora Ricci"
tt0852506,Pumuckls rotes Bild,1999,"Animation, Family",Imo Moszkowicz,"Towje Kleiner, Wolfgang Völz, Martin Östreicher, Hans Clarin"
tt0034347,Man of the Sea,1942,Drama,"Belisario L. Randone, Roberto de Ribón","Massimo Serato, María Mercader, Enrico Glori, Flavio Díaz"
tt0181652,Leo e Beo,1998,Comedy,Rossella Izzo,"Marco Columbro, Sabrina Ferilli, Leo Gullotta, Catherine Wilkening"
tt2036388,Shun Li and the Poet,2011,Drama,Andrea Segre,"Tao Zhao, Rade Serbedzija, Marco Paolini, Roberto Citran"
tt0036248,Paese senza pace,1946,Drama,"Leo Menardi, Carlo Lodovici","Cesco Baseggio, Giulio Stival, Isa Pola, Rossano Brazzi"
tt4175224,Barinia: Food and People of the Mediterranean,2014–,Documentary,N/A,N/A
tt1528179,Vendetta,2010,"Crime, Drama",Andreas Herzog,"Ornella Muti, Gerd Silberbauer, Michel Guillaume, Bianca Hein"
tt1427333,Very Important Pennis: Part 1,1996,Comedy,N/A,"Paul Kaye, Kris Akabusi, Giorgio Armani, Baz Bamigboye"
tt0069995,Don't Look Now,1973,"Drama, Horror, Thriller",Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania"
tt0067445,Death in Venice,1971,Drama,Luchino Visconti,"Dirk Bogarde, Romolo Valli, Mark Burns, Nora Ricci"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0793030,The Amazing Race,2003,"Action, Adventure, Game-Show",N/A,"Phil Keoghan, Kelly Parks, Jon Corso, Monica Ambrose"
tt0285335,The Amazing Race,2001–,"Action, Adventure, Game-Show",N/A,Phil Keoghan
tt0793017,I Wasn't Even Going to Touch You Until You Slammed My Head Backwards!,2003,"Action, Adventure, Game-Show",N/A,"Phil Keoghan, Kelly Parks, Jon Corso, Monica Ambrose"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt0069995,Don't Look Now,1973,"Drama, Horror, Thriller",Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason, Clelia Matania"
tt2923192,Il lavoro contro la vita,1979,Documentary,"Anna Lajolo, Alfredo Leonardi, Guido Lombardi",N/A
tt0097576,Indiana Jones and the Last Crusade,1989,"Action, Adventure",Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody"
tt0317740,The Italian Job,2003,"Action, Crime, Thriller",F. Gary Gray,"Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0048673,Summertime,1955,"Romance, Drama",David Lean,"Katharine Hepburn, Rossano Brazzi, Isa Miranda, Darren McGavin"
tt1427333,Very Important Pennis: Part 1,1996,Comedy,N/A,"Paul Kaye, Kris Akabusi, Giorgio Armani, Baz Bamigboye"
tt0842515,Conny und die verschwundene Ehefrau,2005,"Comedy, Crime",Reinhard Schwabenitzky,"Elfi Eschke, Peter Fricke, Stefanie Frischeis, Johannes Krisch"
tt2127272,Eclissi di fine stagione,2011,"Short, Comedy",Vito Palmieri,"Asad Ali, Ilir Jacellari, Leo Mantovani, Klodiana Muhaxhiri"
tt0067956,The Designated Victim,1971,Thriller,Maurizio Lucidi,"Tomas Milian, Pierre Clémenti, Katia Christine, Luigi Casellato"
tt0793030,The Amazing Race,2003,"Action, Adventure, Game-Show",N/A,"Phil Keoghan, Kelly Parks, Jon Corso, Monica Ambrose"
tt1610018,Vespers in Venice,1989,Music,Jonathan Fulford,N/A
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt0346336,The Best of Youth,2003,"Drama, Romance",Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Sonia Bergamasco, Maya Sansa"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0083390,Brideshead Revisited,1981,"Drama, Romance",N/A,"Jeremy Irons, Diana Quick, Roger Milner, Phoebe Nicholls"
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0078288,Bloodstained Shadow,1978,"Mystery, Thriller",Antonio Bido,"Lino Capolicchio, Stefania Casini, Craig Hill, Massimo Serato"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt1454188,Coach Trip,2009,Reality-TV,Keeley van Dyke,"Brendan Sheerin, David Quantick"
tt1347516,Eine Liebe in Venedig,2009,N/A,Klaus Wirbitzky,"Mira Bartuschek, Markus Böker, Oliver Bootz, Michaela May"
tt0055535,Totòtruffa '62,1961,Comedy,Camillo Mastrocinque,"Totò, Nino Taranto, Estella Blain, Geronimo Meynier"
tt2157452,The Decline of the West,2013,"Comedy, Horror, Sci-Fi",Chris Coffman,"Chris Coffman, John Russell Herbert, Kathryn Winkler"
tt0055141,Marco Polo,1962,Adventure,"Piero Pierotti, Hugo Fregonese","Rory Calhoun, Yôko Tani, Camillo Pilotto, Pierre Cressoy"
tt1048395,Episode #1.3212,2000,"Drama, Romance","Susan Flannery, Michael Stich","Victor Alfieri, Andrea Evans, Adrienne Frantz, Katherine Kelly Lang"
tt4191374,Ti voglio bene,2015,Documentary,Lyia Terki,N/A
tt1079040,Episode #1.3213,2000,"Drama, Romance","Deveney Kelly, Michael Stich","Victor Alfieri, Leif Campion, Neil Campion, Adrienne Frantz"
tt1248970,Alien Sex Files 3: Aliens Gone Wild,2008,Sci-Fi,Milos Twilight,"Michael Stark, Andrew Aguilar, Jenae Altschwager, Chriss Anglin"
tt0059690,Se non avessi più te,1965,Musical,Ettore Maria Fizzarotti,"Gianni Morandi, Laura Efrikian, Anna Maria Polani, Nino Taranto"
tt0065000,Slogan,1969,"Comedy, Drama",Pierre Grimblat,"Serge Gainsbourg, Jane Birkin, Andréa Parisy, Daniel Gélin"
tt0075676,Amore,1978,"Comedy, Romance",Klaus Lemke,"Cleo Kretschmer, Pietro Giardini, Peter Kienberger, Wolfgang Fierek"
tt2526664,Italy in a Day,2014,Documentary,Gabriele Salvatores,"Valeria Cocco, Lorenzo Ciani, Alessia Gatti, Nikolas Grasso"
tt0057076,From Russia with Love,1963,"Action, Adventure, Thriller",Terence Young,"Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya"
tt3665052,Spise med Price,2014,Documentary,Jacob Benjamin Snedevig,"Adam Price, James Price, John Price"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt0079574,Moonraker,1979,"Action, Adventure, Crime",Lewis Gilbert,"Roger Moore, Lois Chiles, Michael Lonsdale, Richard Kiel"
tt1815576,A qualcuno piace carta,2007,Comedy,Sosthen Hennekam,Ennio Marchetto
tt3404342,Il nipote di Rameau,2013,Drama,Felice Cappa,"Silvio Orlando, Amerigo Fontani, Maria Laura Rondanini, Luca Testa"
tt4191374,Ti voglio bene,2015,Documentary,Lyia Terki,N/A
tt0381061,Casino Royale,2006,"Action, Adventure, Thriller",Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench"
tt0062998,Galileo,1968,"Drama, History",Liliana Cavani,"Cyril Cusack, Georgi Kaloyanchev, Nikolay Doychev, Miroslav Mindov"
tt0064828,Porcile,1969,Drama,Pier Paolo Pasolini,"Pierre Clémenti, Jean-Pierre Léaud, Alberto Lionello, Ugo Tognazzi"
